SIGLA_INSTITUICAO,BAIRRO_INSTITUICAO,VALOR_MENSALIDADE
UNIP,FÁTIMA,259.0
UNIP,FÁTIMA,189.0
UNIP,FÁTIMA,149.0
Estácio,JOQUEI CLUBE,842.71
FAFOR ,ENGENHEIRO LUCIANO CAVALCANTE,890.98
Estácio,ALDEOTA,857.0
UNICE,CENTRO,939.59
Estácio,ÁGUA FRIA,857.0
Pitágoras,CENTRO,889.29
UNIFANOR,SÃO GERARDO,1269.57
UNIFANOR,DUNAS,1269.57
Pitágoras,BENFICA,889.29
FGN,JÓQUEI CLUBE,848.35
FAECE,ENGENHEIRO LUCIANO CAVALCANTE,890.98
CDL,CENTRO,677.07
Estácio,CENTRO,885.57
UNICHRISTUS,MEIRELES,1314.0
FBUNI,VARJOTA,1201.58
Estácio,JOQUEI CLUBE,699.86
Estácio,ALDEOTA,828.43
UNI7,ENGENHEIRO LUCIANO CAVALCANTE,1190.0
UNICE,CENTRO,939.59
Estácio,ÁGUA FRIA,799.86
UNIFANOR,DUNAS,1269.57
FAECE,ENGENHEIRO LUCIANO CAVALCANTE,890.98
Pitágoras,CENTRO,889.29
UNICHRISTUS,MEIRELES,1314.0
CDL,CENTRO,541.61
Estácio,CENTRO,814.14
FAFOR ,ENGENHEIRO LUCIANO CAVALCANTE,890.98
UNIFANOR,SÃO GERARDO,1269.57
Estácio,JOQUEI CLUBE,642.71
FBUNI,VARJOTA,1201.58
Estácio,ÁGUA FRIA,385.57
Estácio,JOQUEI CLUBE,385.57
UNIFANOR,SÃO GERARDO,445.5
Unidombosco,CENTRO ,418.0
UNIFANOR,DUNAS,445.5
Estácio,ALDEOTA,385.57
AIEC,PRAIA DE IRACEMA,657.0
UNISUL,Virtual,551.0
ESAB,Virtual,189.0
UNIASSELVI,ALDEOTA,234.74
Estácio,CENTRO,385.57
Eniac,DAMAS,404.0
FMU Online-EAD.br,FARIAS BRITO,475.0
UNICESUMAR EAD,PARQUE MANIBURA,328.89
UNIFACVEST,R TEÓFILO,199.0
FMU Online-EAD.br,MESSEJANA,475.0
Unyleya,CENTRO,322.0
UNIBTA,Virtual,404.0
UNIASSELVI,MESSEJANA,234.74
Unidombosco,CARLITO PAMPLONA,418.0
Unidombosco,MESSEJANA,418.0
Unidombosco,HENRIQUE JORGE,418.0
wyden,ALDEOTA,445.5
ESAB,Virtual,189.0
ESAB,Virtual,189.0
ESAB,Virtual,189.0
Estácio,MONTE CASTELO,385.57
Unidombosco,MONTESE,418.0
FMU Online-EAD.br,FARIAS BRITO,678.57
Unidombosco,PARQUELÂNDIA,418.0
Pitágoras,CENTRO,419.41
UNOPAR,FARIAS BRITO,510.99
Estácio,ALDEOTA,599.86
Anhanguera,ALDEOTA,424.07
UNOPAR,ALDEOTA,419.41
Estácio,JOQUEI CLUBE,599.86
Anhanguera,JOAQUIM TÁVORA,424.07
Estácio,ÁGUA FRIA,599.86
Estácio,ÁGUA FRIA,528.43
Estácio,ALDEOTA,514.14
UNOPAR,ALDEOTA,419.41
Pitágoras,CENTRO,419.41
Anhanguera,JOAQUIM TÁVORA,424.07
Anhanguera,ALDEOTA,424.07
Estácio,JOQUEI CLUBE,514.14
UNOPAR,ALDEOTA,272.89
Pitágoras,CENTRO,272.89
Anhanguera,JOAQUIM TÁVORA,275.93
Anhanguera,ALDEOTA,275.93
UNOPAR,FARIAS BRITO,338.65
