SIGLA_INSTITUICAO,BAIRRO_INSTITUICAO,VALOR_MENSALIDADE
Estácio,JOQUEI CLUBE,1342.71
Estácio,CENTRO,1457.0
FAFOR ,ENGENHEIRO LUCIANO CAVALCANTE,1431.53
FAECE,ENGENHEIRO LUCIANO CAVALCANTE,1431.53
FBUNI,VARJOTA,1571.58
Estácio,ÁGUA FRIA,1442.71
Estácio,ALDEOTA,1457.0
UNIFANOR,DUNAS,1809.0
Estácio,ÁGUA FRIA,1499.86
Estácio,JOQUEI CLUBE,1214.14
Estácio,ALDEOTA,1457.0
FAECE,ENGENHEIRO LUCIANO CAVALCANTE,1431.53
FAFOR ,ENGENHEIRO LUCIANO CAVALCANTE,1431.53
Estácio,CENTRO,1471.29
UNIFANOR,DUNAS,1809.0
Estácio,JOQUEI CLUBE,1185.57
Estácio,ALDEOTA,1285.57
Estácio,CENTRO,1285.57
Estácio,ÁGUA FRIA,1285.57
FBUNI,VARJOTA,1571.58
