ID_CURSO,ID_CURSO_PADRAO,DESCRICAO_CURSO,FLG_MODALIDADE,FLG_TURNO,EAD,ID_TIPO_CURSO,DISTANCIA,LATITUDE,LONGITUDE,DURACAO,NUMERO_PARCELAS,VAGA_DISPONIVEL,VALOR_BOLSA,VALOR_MENSALIDADE,PERCENTUAL_BOLSA,ID_UNIDADE,NOME_UNIDADE,BAIRRO_INSTITUICAO,LOGO,URL_CURSO,URL_INSTITUICAO,NOME_INSTITUICAO,SIGLA_INSTITUICAO,MSG_FORMACAO,TIPO_INSTITUICAO,MSG_WEB,MSG_CURTA_WEB,DESCONTO_REGRESSIVO
2116475.0,2.0,ADMINISTRAÇÃO,G,L,S,S,,,,48.0,48.0,149.0,190.4,272.0,30.0,54179.0,FACULDADE JARDINS - SALVADOR,CAMINHO DAS ÁRVORES,faculdade-jardins.png,administracao,faculdade-jardins,Faculdade Jardins,FAJAR,,P,,,
2369558.0,2.0,ADMINISTRAÇÃO,G,L,S,S,,,,24.0,24.0,149.0,188.432323,422.21,55.37,55808.0,CRUZEIRO DO SUL EAD - ABADIÂNIA,CENTRO,cruzeiro-do-sul.png,administracao,cruzeiro-do-sul,Universidade Cruzeiro do Sul,,Primeira e segunda mensalidades gratuitas,P,,,
2369486.0,2.0,ADMINISTRAÇÃO,G,L,S,S,,,,48.0,48.0,149.0,188.456664,499.62,62.28,55808.0,CRUZEIRO DO SUL EAD - ABADIÂNIA,CENTRO,cruzeiro-do-sul.png,administracao,cruzeiro-do-sul,Universidade Cruzeiro do Sul,,Primeira e segunda mensalidades gratuitas,P,,,
1628848.0,2.0,ADMINISTRAÇÃO,G,N,S,A,,-1.725147,-48.8889267,48.0,48.0,149.0,170.1,189.0,10.0,31038.0,UNIP - UNIDADE INSA,CENTRO,unip-aqui-voce-pode.png,administracao,unip-aqui-voce-pode,Unip - Aqui Você Pode,UNIP,Noite B - Seg/Qua (20:20 às 22:00) e Ter/Qui (20:20 às 21:10),P,,,
990057.0,2.0,ADMINISTRAÇÃO,G,L,S,S,,-1.7174443,-48.8800184,48.0,48.0,149.0,230.223,328.89,30.0,30259.0,UNICESUMAR EAD - ABAETETUBA,CENTRO,unicesumar-ead.png,administracao,unicesumar-ead,UNICESUMAR EAD,UNICESUMAR EAD,,P,,,
920309.0,2.0,ADMINISTRAÇÃO,G,L,S,S,,-1.726086,-48.881808,48.0,48.0,149.0,244.8036,322.11,24.0,29609.0,UNIASSELVI EAD - ABAETETUBA,CENTRO,uniasselvi.png,administracao,uniasselvi,UNIASSELVI,UNIASSELVI,Primeira e segunda mensalidades gratuitas,P,,,
1075557.0,2.0,ADMINISTRAÇÃO,G,L,S,S,,-23.499337,-46.4533158,48.0,48.0,149.0,188.456664,499.62,62.28,31126.0,CRUZEIRO DO SUL EAD - ABAETETUBA - SÃO LOURENÇO,SÃO LOURENÇO,cruzeiro-do-sul.png,administracao,cruzeiro-do-sul,Universidade Cruzeiro do Sul,,Primeira e segunda mensalidades gratuitas,P,,,
1685446.0,2.0,ADMINISTRAÇÃO,G,L,S,S,,-23.499337,-46.4533158,24.0,24.0,149.0,188.432323,422.21,55.37,31126.0,CRUZEIRO DO SUL EAD - ABAETETUBA - SÃO LOURENÇO,SÃO LOURENÇO,cruzeiro-do-sul.png,administracao,cruzeiro-do-sul,Universidade Cruzeiro do Sul,,Primeira e segunda mensalidades gratuitas,P,,,
1667364.0,2.0,ADMINISTRAÇÃO,G,N,S,P,,-1.7216595,-48.8871738,48.0,48.0,5.0,190.8315,424.07,55.0,28165.0,ANHANGUERA EAD - ABAETETUBA,CENTRO,anhanguera.png,administracao,anhanguera,Anhanguera,Anhanguera,,P,,,
1757951.0,2.0,ADMINISTRAÇÃO,G,M,S,P,,-1.7216595,-48.8871738,48.0,48.0,6.0,190.8315,424.07,55.0,28165.0,ANHANGUERA EAD - ABAETETUBA,CENTRO,anhanguera.png,administracao,anhanguera,Anhanguera,Anhanguera,,P,,,
1069374.0,2.0,ADMINISTRAÇÃO,G,L,S,O,,-1.7216595,-48.8871738,48.0,48.0,6.0,124.1685,275.93,55.0,28165.0,ANHANGUERA EAD - ABAETETUBA,CENTRO,anhanguera.png,administracao,anhanguera,Anhanguera,Anhanguera,,P,,,
2126078.0,2.0,ADMINISTRAÇÃO,G,L,S,S,,,,48.0,48.0,1.0,216.75,289.0,25.0,54218.0,CENTRO UNIVERSITÁRIO PLANALTO DE ARAXÁ - ABAETÉ,AMAZONAS,uniaraxa.png,administracao,uniaraxa,UNIARAXÁ - Centro Universitário Planalto de Araxá,UNIARAXÁ,,P,,,
2116475.0,2.0,ADMINISTRAÇÃO,G,L,S,S,,,,48.0,48.0,149.0,190.4,272.0,30.0,54179.0,FACULDADE JARDINS - SALVADOR,CAMINHO DAS ÁRVORES,faculdade-jardins.png,administracao,faculdade-jardins,Faculdade Jardins,FAJAR,,P,,,
2116475.0,2.0,ADMINISTRAÇÃO,G,L,S,S,,,,48.0,48.0,149.0,190.4,272.0,30.0,54179.0,FACULDADE JARDINS - SALVADOR,CAMINHO DAS ÁRVORES,faculdade-jardins.png,administracao,faculdade-jardins,Faculdade Jardins,FAJAR,,P,,,
2237305.0,2.0,ADMINISTRAÇÃO,G,N,S,P,,-13.2510326,-41.6643649,48.0,48.0,6.0,263.5017,516.67,49.0,30494.0,ANHANGUERA - ABAÍRA,CENTRO,anhanguera.png,administracao,anhanguera,Anhanguera,Anhanguera,,P,,,
2237304.0,2.0,ADMINISTRAÇÃO,G,M,S,P,,-13.2510326,-41.6643649,48.0,48.0,6.0,263.5017,516.67,49.0,30494.0,ANHANGUERA - ABAÍRA,CENTRO,anhanguera.png,administracao,anhanguera,Anhanguera,Anhanguera,,P,,,
1734240.0,2.0,ADMINISTRAÇÃO,G,L,S,O,,-13.2510326,-41.6643649,48.0,48.0,6.0,187.9452,368.52,49.0,30494.0,ANHANGUERA - ABAÍRA,CENTRO,anhanguera.png,administracao,anhanguera,Anhanguera,Anhanguera,,P,,,
204227.0,2.0,ADMINISTRAÇÃO,G,L,S,S,,-26.599712,-52.086335,48.0,48.0,3.0,243.4905,442.71,45.0,17226.0,ESTÁCIO EAD - ABELARDO LUZ,SANTA LUZIA,estacio.png,administracao,estacio,Estácio - Universidade Estácio de Sá,Estácio,,P,,,
